bits_1_11,note_count,notes
740,6,C E♭ F♯ G A♭ B♭
741,7,C D♭ E♭ F♯ G A♭ B♭
742,7,C D E♭ F♯ G A♭ B♭
743,8,C D♭ D E♭ F♯ G A♭ B♭
744,6,C E F♯ G A♭ B♭
745,7,C D♭ E F♯ G A♭ B♭
746,7,C D E F♯ G A♭ B♭
747,8,C D♭ D E F♯ G A♭ B♭
748,7,C E♭ E F♯ G A♭ B♭
749,8,C D♭ E♭ E F♯ G A♭ B♭
750,8,C D E♭ E F♯ G A♭ B♭
751,9,C D♭ D E♭ E F♯ G A♭ B♭
752,6,C F F♯ G A♭ B♭
753,7,C D♭ F F♯ G A♭ B♭
754,7,C D F F♯ G A♭ B♭
755,8,C D♭ D F F♯ G A♭ B♭
756,7,C E♭ F F♯ G A♭ B♭
757,8,C D♭ E♭ F F♯ G A♭ B♭
758,8,C D E♭ F F♯ G A♭ B♭
759,9,C D♭ D E♭ F F♯ G A♭ B♭
760,7,C E F F♯ G A♭ B♭
761,8,C D♭ E F F♯ G A♭ B♭
762,8,C D E F F♯ G A♭ B♭
763,9,C D♭ D E F F♯ G A♭ B♭
764,8,C E♭ E F F♯ G A♭ B♭
765,9,C D♭ E♭ E F F♯ G A♭ B♭
766,9,C D E♭ E F F♯ G A♭ B♭
767,10,C D♭ D E♭ E F F♯ G A♭ B♭
768,3,C A B♭
769,4,C D♭ A B♭
770,4,C D A B♭
771,5,C D♭ D A B♭
772,4,C E♭ A B♭
773,5,C D♭ E♭ A B♭
774,5,C D E♭ A B♭
775,6,C D♭ D E♭ A B♭
776,4,C E A B♭
777,5,C D♭ E A B♭
778,5,C D E A B♭
779,6,C D♭ D E A B♭
780,5,C E♭ E A B♭
781,6,C D♭ E♭ E A B♭
782,6,C D E♭ E A B♭
783,7,C D♭ D E♭ E A B♭
784,4,C F A B♭
785,5,C D♭ F A B♭
786,5,C D F A B♭
787,6,C D♭ D F A B♭
788,5,C E♭ F A B♭
789,6,C D♭ E♭ F A B♭
790,6,C D E♭ F A B♭
791,7,C D♭ D E♭ F A B♭
792,5,C E F A B♭
793,6,C D♭ E F A B♭
794,6,C D E F A B♭
795,7,C D♭ D E F A B♭
796,6,C E♭ E F A B♭
797,7,C D♭ E♭ E F A B♭
798,7,C D E♭ E F A B♭
799,8,C D♭ D E♭ E F A B♭
800,4,C F♯ A B♭
801,5,C D♭ F♯ A B♭
802,5,C D F♯ A B♭
803,6,C D♭ D F♯ A B♭
804,5,C E♭ F♯ A B♭
805,6,C D♭ E♭ F♯ A B♭
806,6,C D E♭ F♯ A B♭
807,7,C D♭ D E♭ F♯ A B♭
808,5,C E F♯ A B♭
809,6,C D♭ E F♯ A B♭
810,6,C D E F♯ A B♭
811,7,C D♭ D E F♯ A B♭
812,6,C E♭ E F♯ A B♭
813,7,C D♭ E♭ E F♯ A B♭
814,7,C D E♭ E F♯ A B♭
